Lp.;Nazwa Muzeum;Kod pocztowy;Miejscowość;ul./Al./Pl./;Ulica;Numer domu;Numer lokalu;Nazwa Organizatora /Założyciela;Data wpisu do Państwowego Rejestru Muzeów (dotyczy Muzeum wpisanego do Państwowego Rejestru Muzeów);Status muzeum
68;Muzeum im. Kazimierza Pułaskiego w Warce ;05-660;Warka;ul.;K. Pułaskiego;24;;Powiat Grójecki ;;Samorządowe
69;Muzeum im. ks. dr. Władysława Łęgi w Grudziądzu;86-300;Grudziądz;ul.;Wodna;3;5;Gmina - Miasto Grudziądz;28.12.1999;Samorządowe
70;Muzeum im. ks. Stanisława Staszica w Hrubieszowie;22-500;Hrubieszów;ul.;3 Maja ;11;;Powiat Hrubieszowski;;Samorządowe
71;Muzeum im. ,,Orła Białego” w Skarżysku - Kamiennej;26-110;Skarżysko - Kamienna;ul.;Słoneczna;90;;Gmina Skarżysko - Kamienna;;Samorządowe
72;Muzeum im. prof. Stanisława Fischera w Bochni;32-700;Bochnia;ul.;Rynek;20;;Gmina Miasta Bochnia;;Samorządowe
73;Muzeum im. Przypkowskich w Jędrzejowie;28-300;Jędrzejów;pl. ;Tadeusza Kościuszki;7-;8;Powiat Jędrzejowski;;Samorządowe
74;Muzeum im. Władysława Orkana w Rabce - Zdroju;34-700;Rabka-Zdrój;ul.;Sądecka;6;;Powiat Nowotarski;;Samorządowe
75;Muzeum im. Wojciecha Kętrzyńskiego w Kętrzynie;11-400;Kętrzyn;pl.;Zamkowy;1;;Gmina Miejska Kętrzyn;;Samorządowe
76;Muzeum im. Zofii i Wacława Nałkowskich w Wołominie;05-200;Wołomin;ul.;Wacława Nałkowskiego;17;;Gmina Wołomin;30.08.2004;Samorządowe
77;Muzeum Inżynierii Miejskiej w Krakowie;31-060;Kraków;ul.;Św. Wawrzyńca;13;15;Gmina Miejska Kraków;;Samorządowe
78;Muzeum Józefa Ignacego Kraszewskiego  w Romanowie;21-518;Sosnówka;ul.;Romanów;25;;Powiat Bialski;;Samorządowe
79;Muzeum Karkonoskie w Jeleniej Górze;58-500;Jelenia Góra;ul.;Jana Matejki;28;;Województwo Dolnośląskie;28.12.1998;Samorządowe
80;Muzeum Karykatury im. Eryka Lipińskiego w Warszawie;00-070;Warszawa;ul.;Kozia;11;;Miasto Stołeczne Warszawa;;Samorządowe
81;Muzeum - Kaszubski Park Etnograficzny im. Teodory i Izydora Gulgowskich  we Wdzydzach Kiszewskich;83-406;Wąglikowice;;Wdzydze Kiszewskie;;;Województwo Pomorskie ;28.11.2002;Samorządowe
82;Muzeum Kaszubskie im. Franciszka Tredera w Kartuzach;83-300;Kartuzy;ul.;Kościerska;1;;Gmina Kartuzy;25.01.2001;Samorządowe
83;Muzeum Kinematografii w Łodzi;90-312;Łódź;pl.;Zwycięstwa;1;;Miasto Łódź;;Samorządowe
84;Muzeum Konstantego Ildefonsa Gałczyńskiego w Praniu z Oddziałem Muzeum Michała Kajki w Ogródku ;12-220;Ruciane Nida;;Pranie ;1;;Powiat Piski;;Samorządowe
85;Muzeum Kresów w Lubaczowie;37-600;Lubaczów;ul.;Sobieskiego;4;;Powiat Lubaczowski ;;Samorządowe
86;Muzeum Kultury Kurpiowskiej w Ostrołęce;07-410;Ostrołęka;ul.;gen. Józefa Bema;8;;Województwo Mazowieckie;;Samorządowe
87;Muzeum Kultury Ludowej Pogórza Sudeckiego w Kudowie - Zdroju;57-350;Kudowa-Zdrój;ul.;Pstrążna;14;;Gmina Kudowa-Zdrój;;Samorządowe
88;Muzeum Kultury Ludowej w Kolbuszowej;36-100;Kolbuszowa;ul.;Tadeusza Kościuszki;6;;Województwo Podkarpackie ;31.01.2011;Samorządowe
89;Muzeum Kultury Ludowej w Węgorzewie;11-600;Węgorzewo;ul.;Portowa;1;;Województwo Warmińsko – Mazurskie ;26.06.2012;Samorządowe
90;Muzeum Lniarstwa im. Filipa De Girarda  w Żyrardowie (w organizacji);96-300;Żyrardów;ul.;Karola Ditricha;18;;Miasto Żyrardów;;Samorządowe
91;Muzeum Lotnictwa Polskiego w Krakowie;31-864;Kraków;Al.;Jana Pawła II;39;;Województwo Małopolskie;07.07.2006;Samorządowe
92;Muzeum Lubuskie im. Jana Dekerta w Gorzowie Wielkopolskim;66-400;Gorzów Wielkopolski;ul.;Warszawska;35;;Województwo Lubuskie;28.12.1998;Samorządowe
93;Muzeum Ludowych Instrumentów Muzycznych w Szydłowcu;26-500;Szydłowiec;ul.;gen. J.Sowińskiego;2;; Województwo Mazowieckie;28.12.1999;Samorządowe
94;Muzeum Łużyckie w Zgorzelcu;59-900;Zgorzelec;ul.;Daszyńskiego;15;;Gmina Zgorzelec;;Samorządowe
95;Muzeum Marii Konopnickiej w Żarnowcu;38-460;Jedlicze;;Żarnowiec;133;;Samorząd Województwo Podkarpackie;;Samorządowe
96;Muzeum Martyrologiczne w Żabikowie;62-031;Luboń;ul.;Niezłomnych;2;;Województwo Wielkopolskie;;Samorządowe
97;Muzeum Mazowieckie w Płocku;09-402;Płock;ul.;Tumska;8;;Województwo Mazowieckie;30.08.2004;Samorządowe
98;Muzeum Mazowsza Zachodniego w Żyrardowie  ;96-300;Żyrardów;ul.;Karola Ditricha;1;;Powiat Żyrardowski;25.01.2001;Samorządowe
99;Muzeum Miasta Gdyni;81-374;Gdynia;ul.;Zawiszy Czarnego;1;;Gmina Miasta Gdyni;;Samorządowe
100;Muzeum Miasta Jaworzna;43-600;Jaworzno;ul.;Pocztowa;5;;Gmina Jaworzno - miasto na prawach powiatu;;Samorządowe
101;Muzeum Miasta Łodzi;91-065;Łódź;ul.;Ogrodowa;15;;Miasto Łódź;;Samorządowe
102;Muzeum Miasta Mysłowice;41-400;Mysłowice;ul.;Stadionowa;7a;;Miasto Mysłowice;;Samorządowe
103;Muzeum Miasta Ostrowa Wielkopolskiego;63-400;Ostrów Wielkopolski;ul.;Rynek;1;;Gmina Miasto Ostrów Wielkopolski ;;Samorządowe
104;Muzeum Miasta Pabianic;95-200;Pabianice;ul.;Stary Rynek;1;2;Miasto Pabianice;;Samorządowe
105;Muzeum Miasta Turku im. Józefa Mehoffera;62-700;Turek;Plac;Wojska Polskiego;1;;Gmina Miejska Turek ;;Samorządowe
106;Muzeum Miasta Zgierza;95-100;Zgierz;ul.;gen. Jana Henryka Dąbrowskiego;21;;Gmina Miasto Zgierz;;Samorządowe
107;Muzeum Miedzi w Legnicy;59-220;Legnica;ul.;Partyzantów;3;;Gmina Legnica;;Samorządowe
108;Muzeum Miejskie Dzierżoniowa  ;58- 200;Dzierżoniów;ul.;Świdnicka;30;;Gmina Miejska Dzierżoniów;;Samorządowe
109;Muzeum Miejskie w Nowej Soli;67-100;Nowa Sól;ul.;Muzealna;20;;Gmina miejska Nowa Sól  ;;Samorządowe
110;Muzeum Miejskie w Siemianowicach Śląskich;41-100;Siemianowice Śląskie;ul.;Chopina;6;;Miasto na prawach powiatu Siemianowice Śląskie;;Samorządowe
111;Muzeum Miejskie Suchej Beskidzkiej;34-200;Sucha Beskidzka;ul.;Zamkowa;1;;Gmina Sucha Beskidzka;;Samorządowe
112;Muzeum Miejskie w Tychach;43-100;Tychy;ul.;Katowicka;9;;Miasto Tychy;;Samorządowe
113;Muzeum Miejskie w Zabrzu;41-800;Zabrze;ul.;3 Maja ;91;;Miasto Zabrze;;Samorządowe
114;Muzeum Miejskie w Żorach;44-240;Żory;ul.;Muzealna;1;2;Gmina Miejska Żory;;Samorządowe
115;Muzeum Miejskie w Żywcu;34-300;Żywiec;ul.;Zamkowa;2;;Miasto Żywiec ;;Samorządowe
116;"Muzeum Miejskie ""Dom Gerharta Hauptmanna""  w Jeleniej Górze";58-570;Jelenia Góra;ul.;Michałowicka;32;;Miasto Jelenia Góra;;Samorządowe
117;"Muzeum Miejskie ""Sztygarka"" w Dąbrowie Górniczej";41-300;Dąbrowa Górnicza;ul.;Legionów Polskich;69;;Miasto Dąbrowa Górnicza;;Samorządowe
118;Muzeum Miejskie im. Maksymiliana Chroboka w Rudzie Śląskiej;41-700;Ruda Śląska;ul.;Wolności;26;;Miasto Ruda Śląska;;Samorządowe
119;Muzeum Miejskie Wrocławia;50-107;Wrocław;ul.;Sukiennice;14;15;Gmina Wrocław;;Samorządowe
120;Muzeum Mikołaja Kopernika we Fromborku;14-530;Frombork;ul.;Katedralna;8;;Województwo Warmińsko – Mazurskie ;30.12.2009;Samorządowe
121;Muzeum - Nadwiślański Park Etnograficzny w Wygiełzowie i Zamek Lipowiec;32-551;Babice Wygiełzów;ul.;Podzamcze;1;;Województwo Małopolskie;31.01.2011;Samorządowe
122;Muzeum Nadwiślańskie  w Kazimierzu Dolnym;24-120;Kazimierz Dolny;ul.;Rynek;19;;Województwo Lubelskie;28.12.1998;Samorządowe
123;Muzeum Narodowe Rolnictwa i Przemysłu Rolno-Spożywczego w Szreniawie;62-052;Komorniki;ul.;Dworcowa;5;;Województwo Wielkopolskie;28.12.1998;Samorządowe
124;Muzeum Narodowe Ziemi Przemyskiej w Przemyślu;37- 700;Przemyśl;pl.;Płk. Berka Joselewicza;1;;Województwo Podkarpackie ;22.02.2007;Samorządowe
125;Muzeum Niepodległości w Warszawie;00-240;Warszawa;al.;Solidarności;62;;Województwo Mazowieckie;18.05.1998;Samorządowe
126;Muzeum Niepołomickie w Niepołomicach;32-005;Niepołomice;ul.;Zamkowa;2;;Gmina Niepołomice;;Samorządowe
127;Muzeum Obozów Jenieckich w Żaganiu ;68-100;Żagań;ul.;Lotników Alianckich;6;;Miasto Żagań;;Samorządowe
128;Muzeum Okręgowe im. Leona Wyczółkowskiego w Bydgoszczy;85-006;Bydgoszcz;ul.;Gdańska;4;;Miasto Bydgoszcz;30.12.2009;Samorządowe
129;Muzeum Okręgowe im. Stanisława Staszica w Pile;64-920;Piła;ul.;Browarna;5;;Województwo Wielkopolskie;28.12.1998;Samorządowe
130;Muzeum Okręgowe w Koninie;62-505;Konin;ul.;Muzealna;5;;Województwo Wielkopolskie;;Samorządowe
131;Muzeum Okręgowe w Lesznie;64-100;Leszno;pl.;Jana Metziga;17;;Województwo Wielkopolskie;30.12.2008;Samorządowe
132;Muzeum Okręgowe w Nowym Sączu;33-300;Nowy Sącz;ul.;Lwowska;3;;Województwo Małopolskie;07.07.2006;Samorządowe
133;Muzeum Okręgowe w Rzeszowie;35-030;Rzeszów;ul.;3 Maja ;19;;Województwo Podkarpackie ;18.05.1998;Samorządowe
134;Muzeum Okręgowe w Sandomierzu;27-600;Sandomierz;ul.;Zamkowa;12;;Miasto Sandomierz;28.12.1999;Samorządowe
