Lp.;Nazwa Muzeum;Kod pocztowy;Miejscowość;ul./Al./Pl./;Ulica;Numer domu;Numer lokalu;Nazwa Organizatora /Założyciela;Data wpisu do Państwowego Rejestru Muzeów (dotyczy Muzeum wpisanego do Państwowego Rejestru Muzeów);Status muzeum
204;Muzeum Regionalne Ziemi Limanowskiej ;34-600;Limanowa;ul.;Józefa Marka;13;;Gmina Miasto Limanowa;;Samorządowe
205;Muzeum Regionalne Ziemi Sulmierzyckiej im. Sebastiana Fabiana Klonowicza;63-750;Sulmierzyce;ul.;Rynek;1;;Miasto Sulmierzyce;;Samorządowe
206;Muzeum Rolnictwa im. ks. Krzysztofa Klukaw Ciechanowcu;18-230;Ciechanowiec;ul.;Pałacowa;5;;Województwo Podlaskie;28.12.1998;Samorządowe
207;Muzeum Romantyzmu w Opinogórze;06-406;Opinogóra;ul.;Zygmunta Krasińskiego;9;;Samorząd Województwa Mazowieckiego;1.04.2015;Samorządowe
208;Muzeum Rzemiosła w Krośnie;38-400;Krosno;ul.;Piłsudskiego;19;;Gmina Krosno;;Samorządowe
209;Muzeum Saturn w Czeladzi;41-250;Czeladź;ul.;Dehnelów;10;;Gmina Miejska Czeladź;;Samorządowe
210;Muzeum Solca im. Księcia Przemysła w Solcu Kujawskim;86-050;Solec Kujawski;ul.;Toruńska;8;;Miasto i Gmina Solec Kujawski;;Samorządowe
211;Muzeum Sopotu;81-724;Sopot;ul.;Poniatowskiego;8;;Gmina Miasta Sopotu;;Samorządowe
212;Muzeum Sportu i Turystyki w Karpaczu;58-540;Karpacz;ul.;Mikołaja Kopernika;2;;Województwo Dolnośląskie;;Samorządowe
213;Muzeum Sportu i Turystyki w Warszawie;01-531;Warszawa;ul.;Wybrzeże Gdyńskie;4;;Województwo Mazowieckie;28.12.1998;Samorządowe
214;Muzeum Sprzętu Gospodarstwa Domowego w Ziębicach;57-220;Ziębice;ul.;Rynek;44;;Gmina Ziębice;;Samorządowe
215;Muzeum Starożytnego Hutnictwa Mazowieckiego im. Stefana Woydy w Pruszkowie;05-800;Pruszków;pl.;Jana Pawła II;2;;Miasto Pruszków;;Samorządowe
216;Muzeum Szlachty Mazowieckiej w Ciechanowie;06-400;Ciechanów;ul.;Warszawska;61;;Województwo Mazowieckie;28.12.1998;Samorządowe
217;Muzeum Sztuki Współczesnej w Krakowie (w organizacji);30-702;Kraków;ul.;Lipowa;4;;Gmina Miejska Kraków;;Samorządowe
218;Muzeum Śląska Cieszyńskiego w Cieszynie;43-400;Cieszyn;ul.;Tadeusza Regera;6;;Powiat Cieszyński;;Samorządowe
219;Muzeum Śląska Opolskiego w Opolu;45-023;Opole;ul.;św. Wojciecha;13;;Województwo Opolskie;28.12.1998;Samorządowe
220;Muzeum Ślężańskie im. Stanisława Dunajewskiego w Sobótce;55-050;Sobótka;ul.;św. Jakuba;18;;Gmina Sobótka;;Samorządowe
221;Muzeum Ślusarstwa im. Marcina Mikuły w Świątnikach Górnych;32-040;Świątniki Górne;ul.;Kazimierza Bruchnalskiego;35;;Miasto i Gmina Świątniki Górne;;Samorządowe
222;Muzeum Śremskie w Śremie;63-100;Śrem;ul.;Adama Mickiewicza;89;;Miasto i Gmina  Śrem;;Samorządowe
223;Muzeum Tatrzańskie im. dra Tytusa Chałubińskiego w Zakopanem;34-500;Zakopane;ul.;Krupówki;10;;Województwo Małopolskie;07.07.2006;Samorządowe
224;Muzeum Technik Ceramicznych w Kole;62-600;Koło;ul.;M. Kajki;44;;Gmina Miejska Koło;;Samorządowe
225;Muzeum Techniki i Komunikacji - Zajezdnia Sztuki w Szczecinie;71-441;Szczecin;ul.;Niemierzyńska;18A;;Gmina Miasto Szczecin;;Samorządowe
226;Muzeum Tkactwa w Kamiennej Górze;58-400;Kamienna Góra;Plac;Wolności;11;;Gmina Miejska Kamienna Góra;;Samorządowe
227;Muzeum Tradycji Niepodległościowych w Łodzi;90-706;Łódź;ul.;Gdańska;13;;Miasto Łódź;;Samorządowe
228;Muzeum Twierdzy Kostrzyn nad Odrą;66-470;Kostrzyn nad Odrą;ul.;Chyżańska;48;;Miasto Kostrzyn nad Odrą;;Samorządowe
229;Muzeum Ustrońskie im. Jana Jarockiego w Ustroniu;43-450;Ustroń;ul.;Hutnicza;3;;Miasto Ustroń;;Samorządowe
230;Muzeum w Brodnicy;87-300;Brodnica;ul.;św. Jakuba;1;;Miasto Brodnica;;Samorządowe
231;Muzeum w Chorzowie;41-500;Chorzów;ul.;Powstańców;25;;Miasto Chorzów ;;Samorządowe
232;Muzeum w Chrzanowie im. Ireny i Mieczysława Mazarakich;32-500;Chrzanów;ul.;Mickiewicza;13;;Gmina Chrzanów;;Samorządowe
233;Muzeum w Gliwicach;44-100;Gliwice;ul.;Dolnych Walów;8a;;Miasto Gliwice;;Samorządowe
234;Muzeum w Jarosławiu Kamienica Orsettich;37-500;Jarosław;ul.;Rynek;4;;Powiat Jarosławski;;Samorządowe
235;Muzeum w Koszalinie;75-420;Koszalin;ul.;Młyńska;37-;39;Miasto Koszalin;30.12.2009;Samorządowe
236;Muzeum w Lęborku;84-300;Lębork;ul.;Młynarska;14-;15;Gmina Miasto Lębork;;Samorządowe
237;Muzeum w Łęczycy;99-100;Łęczyca;ul.;Zamkowa;1;;Gmina Miasto Łęczyca;;Samorządowe
238;Muzeum w Łowiczu;99-400;Łowicz;ul.;Stary Rynek;5;7;Powiat Łowicki;28.12.1999;Samorządowe
239;Muzeum Powiatowe w Nysie;48-300;Nysa;ul.; Biskupa Jarosława;11;;Powiat Nyski;;Samorządowe
240; Muzeum Regionalne w Ostródzie;14-100;Ostróda;ul.;Adama Mickiewicza;22;;Gmina Miejska Ostróda ;;Samorządowe
241;Muzeum w Piotrkowie Trybunalskim;97-300;Piotrków Trybunalski;Plac;Zamkowy;4;;Miasto Piotrków Trybunalski;;Samorządowe
242;Muzeum w Praszce;46-320;Praszka;pl.;Grunwaldzki;15;;Gmina Praszka;;Samorządowe
243;Muzeum w Przeworsku - Zespół Pałacowo-Parkowy;37-200;Przeworsk;ul.;Park;2;;Powiat Przeworski;;Samorządowe
244;Muzeum w Raciborzu;47-400;Racibórz;ul.;Rzeźnicza;15;;Gmina Racibórz;;Samorządowe
245;Muzeum w Rybniku;44-200;Rybnik;ul.;Rynek;18;;Miasto Rybnik;;Samorządowe
246;Muzeum w Tarnowskich Górach;42-600;Tarnowskie Góry;ul.;Rynek;1;;Gmina Tarnowskie Góry;;Samorządowe
247;Muzeum w Tomaszowie Mazowieckim imienia Antoniego Hrabiego Ostrowskiego;97-200;Tomaszów Mazowiecki;ul.;Polskiej Organizacji Wojskowej ;11;15;Gmina - Miasto Tomaszów Mazowiecki;;Samorządowe
248;Muzeum Porcelany w Wałbrzychu;58-300;Wałbrzych;ul.;1 Maja;9;;Gmina Wałbrzych;28.11.2002;Samorządowe
249;Muzeum w Wodzisławiu Śląskim;44-300;Wodzisław Śląski;ul.;Ks. płk. Wilhelma Kubsza;2;;Miasto Wodzisław Śląski;;Samorządowe
250;Muzeum Warmii i Mazur w Olsztynie;10-074;Olsztyn;ul.;Zamkowa;2;;Województwo Warmińsko – Mazurskie ;07.07.2006;Samorządowe
251;Muzeum Warszawy;00-272;Warszawa;ul.;Rynek Starego Miasta;28-;42;Miasto Stołeczne Warszawa;14.12.2001;Samorządowe
252;Muzeum Wojska w Białymstoku ;15-089;Białystok;ul.;Jana Kilińskiego;7;;Miasto Białystok ;;Samorządowe
253;Muzeum Wojska, Wojskowowści i Ziemi Orzyskiej w Orzyszu w organizacji;12-250;Orzysz;ul.;Giżycka;9;;Gmina Orzysz;;Samorządowe
254;Muzeum Wsi Kieleckiej w Kielcach ;25-025;Kielce;ul.;Jana Pawła II;6;;Województwo Świętokrzyskie;28.12.1999;Samorządowe
255;Muzeum Wsi Lubelskiej w Lublinie;20-824;Lublin;al.;Warszawska;96;;Województwo Lubelskie;14.12.2001;Samorządowe
256;Muzeum Wsi Mazowieckiej w Sierpcu;09-200;Sierpc;ul.;Gabriela Narutowicza;64;;Samorząd Województwa Mazowieckiego;12.02.2014;Samorządowe
257;Muzeum Wsi Opolskiej w Opolu;45-835;Opole;ul.;Wrocławska;174;;Województwo Opolskie;28.12.1998;Samorządowe
258;Muzeum Wsi Radomskiej w Radomiu;26-600;Radom;ul.;Szydłowiecka;30;;Samorząd Województwa Mazowieckiego;;Samorządowe
259;Muzeum Współczesne Wrocław  (w organizacji);53-681;Wrocław;Plac;Strzegomski;2a;;Gmina Wrocław;;Samorządowe
260;Muzeum Zabawek i Zabawy w Kielcach;25-367;Kielce;Plac;Wolności;2;;Miasto Kielce;;Samorządowe
261;Muzeum Zachodniokaszubskie w Bytowie;77-100;Bytów;ul.;Zamkowa;2;;Województwo Pomorskie ;26.06.2012 ;Samorządowe
262;Muzeum Zagłębia w Będzinie;42-500;Będzin;ul.;Świerczewskiego;15;;Gmina Będzin;;Samorządowe
263;Muzeum - Zamek Górków w Szamotułach;64-500;Szamotuły;ul.;Wroniecka;30;;Powiat Szamotulski;06.07.1998;Samorządowe
264;Zamek Książąt Pomorskich - Muzeum w Darłowie;76-150;Darłowo;Plac;Zamkowy;4;;Powiat Sławieński;;Samorządowe
265;Muzeum Zamek Opalińskich w Sierakowie;64-410;Sieraków;ul.;Stadnina;3a;;Powiat Międzychodzki;;Samorządowe
266;Muzeum - Zamek w Oporowie;99-322;Oporów;;Oporów;34;;Powiat Kutnowski;22.02.2007;Samorządowe
267;Muzeum Zamek w Oświęcimiu ;32-600;Oświęcim;ul.;Zamkowa;1;;Gmina Miasto Oświęcim;;Samorządowe
268;Muzeum Zamkowe w Pszczynie;43-200;Pszczyna;ul.;Brama Wybrańców;1;;Województwo Śląskie;06.07.1998;Samorządowe
269;Muzeum Zamojskie w Zamościu;22-400;Zamość;ul.;Ormiańska;30;;Miasto Zamość;26.06.2012;Samorządowe
270;Muzeum Zamoyskich w Kozłówce;21-132;Kamionka;ul.;Kozłówka;3;;Województwo Lubelskie;18.05.1998;Samorządowe
271;Muzeum Zbrojownia na Zamku w Liwie;07-100;Liw (poczta Węgrów);ul.;Stefana Batorego;2;;Województwo Mazowieckie;;Samorządowe
272;Muzeum Ziemi Bieckiej;38-340;Biecz;ul.;Węgierska;1;;Gmina Biecz;;Samorządowe
273;Muzeum Ziemi Biłgorajskiej w Biłgoraju;23-400;Biłgoraj;ul.;Kościuszki;87;;Powiat Biłgorajski;;Samorządowe
274;Muzeum Ziemi Chełmskiej im. Wiktora Ambroziewicza w Chełmie;22-100;Chełm;ul.;Lubelska;55;;Miasto Chełm;28.12.1998;Samorządowe
275;Muzeum Ziemi Dobrzyńskiej w Rypinie ;87-500;Rypin;ul.;Wrocławska;20;;Miasto Rypin ;;Samorządowe
276;Muzeum Ziemi Kępińskiej  im. Tadeusza Piotra Potworowskiego w Kępnie ;63-600;Kępno;ul.;Kwiatowa;13;;Gmina Kępno;;Samorządowe
277;Muzeum Ziemi Kłodzkiej w Kłodzku;57-300;Kłodzko;ul.;Łukasiewicza;4;;Gmina Miasto Kłodzko;14.12.2001;Samorządowe
278;Muzeum Ziemi Koszyckiej im. Stanisława Boducha w Koszycach;32 -130; Koszyce;ul.;Wspólna;11;;Gmina Koszyce;;Samorządowe
279;Muzeum Ziemi Kościerskiej im. dra Jerzego Knyby w Kościerzynie;83-400;Kościerzyna;ul.;Rynek;9;;Gmina Miejska Kościerzyna;;Samorządowe
280;Muzeum Ziemi Kozielskiej w Kędzierzynie Koźlu  (w organizacji);47-200;Kędzierzyn-Koźle;ul.;Józefa Ignacego Kraszewskiego;5b;;Gmina Kędzierzyn-Koźle;;Samorządowe
281;Muzeum Ziemi Krajeńskiej w Nakle nad Notecią;89-100;Nakło nad Notecią;ul.;Pocztowa;14;;Gmina Nakło nad Notecią;;Samorządowe
282;Muzeum Ziemi Kujawskiej i Dobrzyńskiej we Włocławku;87-800;Włocławek;ul.;Słowackiego;1a;;Województwo Kujawsko-Pomorskie;06.07.1998;Samorządowe
283;Muzeum Ziemi Leżajskiej;37-300;Leżajsk;ul.;Mickiewicza;20A;;Powiat Leżajski;;Samorządowe
284;Muzeum Ziemi Lubartowskiej w Lubartowie (w organizacji);21-100;Lubartów;ul.;Kościuszki;28;;Miasto Lubartów ;;Samorządowe
285;Muzeum Ziemi Lubuskiej w Zielonej Górze;65-048;Zielona Góra;al.;Niepodległości;15;;Województwo Lubuskie;18.05.1998;Samorządowe
286;Muzeum Ziemi Miechowskiej w Miechowie (w organizacji) ;32-200;Miechów;ul.;Warszawska;1;;Gmina Miechów;;Samorządowe
287;Muzeum Ziemi Międzyrzeckiej  im. Alfa Kowalskiego ;66-300;Międzyrzec;ul.;Podzamcze;2;;Powiat Międzyrzecki ;28.12.1998 ;Samorządowe
288;Muzeum Ziemi Mińskiej w Mińsku Mazowieckim ;05-300;Mińsk Mazowiecki;ul.;S. Okrzei;16;;Miasto Mińsk Mazowiecki;;Samorządowe
289;Muzeum Ziemi Mogileńskiej w Mogilnie z siedzibą w Chabsku;88-342;Chabsko (poczta Wylatowo);ul.;Chabsko;20;;Gmina Mogilno;;Samorządowe
290;Muzeum Ziemi Nadnoteckiej im. Wiktora Stachowiaka w Trzciance;64-980;Trzcianka;ul.;Żeromskiego;36a;;Gmina Trzcianka;;Samorządowe
291;Muzeum Ziemi Pałuckiej w Żninie;88-400;Żnin;Plac;Wolności;1;;Gmina Żnin;;Samorządowe
292;Muzeum Ziemi Piskiej w Piszu;12-200;Pisz;Plac;Ignacego Daszyńskiego;7;;Gmina Pisz;;Samorządowe
293;Muzeum Ziemi Prudnickiej w Prudniku;48-200;Prudnik;ul.;Chrobrego;5 ;;Gmina Prudnik;;Samorządowe
294;Muzeum Ziemi Puckiej im. Floriana Ceynowy w Pucku;84-100;Puck;ul.;Wolności;28;;Powiat Pucki;07.07.2006;Samorządowe
295;Muzeum Ziemi Rawickiej w Rawiczu;63 -900;Rawicz;ul.;Rynek;1;;Gmina Rawicz;;Samorządowe
296;Muzeum Ziemi Rawskiej w Rawie Mazowieckiej;96-200;Rawa Mazowiecka;ul.;Łowicka;26;;Miasto Rawa Mazowiecka;;Samorządowe
297;Muzeum Ziemi Sadowieńskiej w Sadownem;07-140;Sadowne;ul.;Kościuszki;74;;Gmina Sadowne ;;Samorządowe
298;Muzeum Ziemi Szubińskiej im. Zenona Erdmanna w Szubinie;89-200;Szubin;ul.;Szkolna;2;;Gmina Szubin;;Samorządowe
299;Muzeum Ziemi Średzkiej - „Dwór w Koszutach”;63-000;Środa Wielkopolska;ul.;Koszuty;27;;Gmina Środa Wielkopolska;;Samorządowe
300;Muzeum Ziemi Wałeckiej w Wałczu;78-600;Wałcz;ul.;Pocztowa;14;;Gmina Miejska Wałcz;;Samorządowe
301;Muzeum Ziemi Wieluńskiej w Wieluniu;98-300;Wieluń;ul.;Narutowicza;13;;Gmina Wieluń;18.12.2003;Samorządowe
302;Muzeum Ziemi Wiśnickiej w Nowym Wiśniczu;32-720;Nowy Wiśnicz;ul.;Zamkowa;13;;Gmina Nowy Wiśnicz;;Samorządowe
303;Muzeum Ziemi Wschowskiej ;67-400;Wschowa;pl.;Zamkowy;2;;Gmina Wschowa;;Samorządowe
304;Muzeum Ziemi Zawkrzeńskiej w Mławie;06-500;Mława;ul.;3 Maja ;5;;Miasto Mława;;Samorządowe
305;Muzeum Ziemi Złotowskiej w Złotowie;77-400;Złotów;ul.;Wojska Polskiego;2a;;Gmina Miasto Złotów ;;Samorządowe
306;Muzeum Ziemiaństwa w Dobrzycy - Zespół Pałacowo-Parkowy;63-330;Dobrzyca;ul.;Pleszewska;5a;;Województwo Wielkopolskie;;Samorządowe
307;Oleskie Muzeum Regionalne w Oleśnie;46-300;Olesno;ul.;Jaronia;7;;Gmina Olesno;;Samorządowe
308;Pałac Schoena Muzeum w Sosnowcu ;41-205;Sosnowiec;ul.;Chemiczna;12;;Gmina Sosnowiec;;Samorządowe
309;Państwowe Muzeum Archeologiczne w Warszawie;00-241;Warszawa;ul.;Długa;52;;Województwo Mazowieckie;18.05.1998;Samorządowe
310;Państwowe Muzeum Etnograficzne  w Warszawie;00-056;Warszawa;ul.;Kredytowa;1;;Województwo Mazowieckie;06.07.1998;Samorządowe
311;Podlaskie Muzeum Kultury Ludowej (w organizacji);16-010;Wasilków ;ul. ;Leśna ;7;;Województwo Podlaskie;;Samorządowe
312;Powiatowe Muzeum Ziemi Głubczyckiej w Głubczycach;48-100;Głubczyce;ul.;Rynek;1;;Powiat Głubczycki;;Samorządowe
313;Skansen w Sidzinie-Muzeum Kultury Ludowej;34-236;Sidzina;ul.;Binkówka;;;Gmina Bystra – Sidzina;;Samorządowe
314;Wielkopolskie Muzeum Niepodległości;61-772;Poznań;ul.;Stary Rynek;3;;Miasto Poznań ;;Samorządowe
315;Żywiecki Park Etnograficzny Muzeum (w organizacji);34-323;Ślemień;ul.;Łączna;2A;;Gmina Ślemień ;;Samorządowe
316;Muzeum Dom Rodzinny Ojca Świętego Jana Pawła II w Wadowicach;34-100;Wadowice;ul.;Kościelna;7;;Minister Kultury i Dziedzictwa Narodowego;;Współprowadzone wpisane do rejestru prowadzonego przez jednostkę samorządu terytorialnego
317;Muzeum - Dom Rodziny Pileckich w Ostrowi Mazowieckiej (w organizacji) ;07-300;Ostrów Mazowiecka;ul.;Warszawska;4;;Minister Kultury i Dziedzictwa Narodowego;;Współprowadzone wpisane do rejestru prowadzonego przez jednostkę samorządu terytorialnego
318;Muzeum Historii Żydów Polskich;00-157;Warszawa;ul.;Anielewicza;6;;Minister Kultury i Dziedzictwa Narodowego;;Współprowadzone wpisane do rejestru prowadzonego przez Ministra Kultury i Dziedzictwa Narodowego
319;Muzeum Jana Pawła II i Prymasa Wyszyńskiego;02-972;Warszawa;ul.;Księdza Prymasa Augusta Hlonda;1;;Archidiecezja Warszawska;;Współprowadzone wpisane do rejestru prowadzonego przez Ministra Kultury i Dziedzictwa Narodowego
320;Muzeum Józefa Piłsudskiego w Sulejówku;05-070;Sulejówek;ul.;Oleandrów;5;;Minister Kultury i Dziedzictwa Narodowego;;Współprowadzone wpisane do rejestru prowadzonego przez Ministra Kultury i Dziedzictwa Narodowego
321;Muzeum Literatury im. Adama Mickiewicza  w Warszawie;00-272;Warszawa;ul.;Rynek Starego Miasta ;20;;Minister Kultury i Dziedzictwa Narodowego;25.01.2001;Współprowadzone wpisane do rejestru prowadzonego przez jednostkę samorządu terytorialnego
322;Muzeum Lubelskie w Lublinie;20-117;Lublin;ul.;Zamkowa ;9;;Minister Kultury i Dziedzictwa Narodowego;28.12.1998;Współprowadzone wpisane do rejestru prowadzonego przez jednostkę samorządu terytorialnego
323;Muzeum Narodowe w Gdańsku;80-822;Gdańsk;ul.;Toruńska;1;;Minister Kultury i Dziedzictwa Narodowego;18.12.2003;Współprowadzone wpisane do rejestru prowadzonego przez jednostkę samorządu terytorialnego
324;Muzeum Narodowe w Kielcach;25-010;Kielce;Plac ;Zamkowy ;1;;Minister Kultury i Dziedzictwa Narodowego;22.05.2000;Współprowadzone wpisane do rejestru prowadzonego przez Ministra Kultury i Dziedzictwa Narodowego
325;Muzeum Narodowe w Szczecinie;70-561;Szczecin;ul.;Staromłyńska;27;;Minister Kultury i Dziedzictwa Narodowego;31.01.2011;Współprowadzone wpisane do rejestru prowadzonego przez jednostkę samorządu terytorialnego
326;Muzeum Narodowe we Wrocławiu;50-153;Wrocław;Pl. ;Powstańców Warszawy;5;;Minister Kultury i Dziedzictwa Narodowego;26.06.2012;Współprowadzone wpisane do rejestru prowadzonego przez Ministra Kultury i Dziedzictwa Narodowego
327;Muzeum Piastów Śląskich w Brzegu;49-300;Brzeg;Plac ;Zamkowy ;1;;Minister Kultury i Dziedzictwa Narodowego;;Współprowadzone wpisane do rejestru prowadzonego przez Ministra Kultury i Dziedzictwa Narodowego
328;Muzeum PRL – u  (w organizacji);31-934;Kraków;os. ;Centrum ;E1;;Minister Kultury i Dziedzictwa Narodowego;;Współprowadzone wpisane do rejestru prowadzonego przez jednostkę samorządu terytorialnego
329;Muzeum Sztuki Nowoczesnej w Warszawie;00-124;Warszawa;ul.;Pańska;3;;Minister Kultury i Dziedzictwa Narodowego;;Współprowadzone wpisane do rejestru prowadzonego przez Ministra Kultury i Dziedzictwa Narodowego
330;Muzeum Sztuki w Łodzi;90-734;Łódź;ul.;Więckowskiego;36;;Minister Kultury i Dziedzictwa Narodowego;28.12.1998;Współprowadzone wpisane do rejestru prowadzonego przez Ministra Kultury i Dziedzictwa Narodowego
331;Muzeum Śląskie w Katowicach;40-205;Katowice;ul.;T. Dobrowolskiego ;1;;Minister Kultury i Dziedzictwa Narodowego;07.07.2006;Współprowadzone wpisane do rejestru prowadzonego przez jednostkę samorządu terytorialnego
332;Muzeum-Zamek w Łańcucie;37-100;Łańcut;ul.;Zamkowa ;1;;Minister Kultury i Dziedzictwa Narodowego;28.12.1998;Współprowadzone wpisane do rejestru prowadzonego przez Ministra Kultury i Dziedzictwa Narodowego
333;Muzeum Żołnierzy Wyklętych w Ostrołęce (w organizacji);07-410;Ostrołęka;ul.;Traugutta;19;;Minister Kultury i Dziedzictwa Narodowego;;Współprowadzone wpisane do rejestru prowadzonego przez jednostkę samorządu terytorialnego
334;Muzeum II Wojny Światowej w Gdańsku ;80-831;Gdańsk;ul.;Długa;81-;83;Minister Kultury i Dziedzictwa Narodowego;15.07.2011;Państwowe
335;Muzeum Historii Polski w Warszawie ;00-560;Warszawa;ul.;Mokotowska (siedziba tymczasowa);33;35;Minister Kultury i Dziedzictwa Narodowego;;Państwowe
336;"Muzeum Łazienki Królewskie w Warszawie";00-460;Warszawa;ul.;Agrykoli;1;;Minister Kultury i Dziedzictwa Narodowego;06.07.1998;Państwowe
337;"Muzeum Łowiectwa i Jeździectwa w Warszawie";00-464;Warszawa;ul.;Szwoleżerów;9;;Minister Kultury i Dziedzictwa Narodowego;18.05.1998;Państwowe
338;Muzeum Marynarki Wojennej w Gdyni;81-374;Gdynia;ul.;Zawiszy Czarnego;1b;;Minister Obrony Narodowej;;Państwowe
339;Muzeum Narodowe w Krakowie;30-062;"Kraków ";ul.;3 Maja ;1;;Minister Kultury i Dziedzictwa Narodowego;18.05.1998;Państwowe
340;Muzeum Narodowe w Poznaniu;61-745;Poznań ;Aleja;Karola Marcinkowskiego;9;;Minister Kultury i Dziedzictwa Narodowego;30.08.2004;Państwowe
341;Muzeum Narodowe w Warszawie;00-495;Warszawa;Aleje ;Jerozolimsie ;3;;Minister Kultury i Dziedzictwa Narodowego;06.07.1998;Państwowe
342;"Muzeum Pałacu Króla Jana III w Wilanowie";02-958;Warszawa;ul.;Stanisława Kostki Potockiego;10;16;Minister Kultury i Dziedzictwa Narodowego;28.12.1998;Państwowe
343;Muzeum Sił Powietrznych w Dęblinie;08-521;"Dęblin ";ul.;Dywizjonu 303;12;;Minister Obrony Narodowej;;Państwowe
344;Muzeum Stutthof w Sztutowie;82-110;Sztutowo;ul.;Muzealna ;6;;Minister Kultury i Dziedzictwa Narodowego;28.12.1998;Państwowe
345;Muzeum Sztuki i Techniki Japońskiej MANGGHA ;30-302;"Kraków ";ul.;Marii Konpnickiej;26;;Minister Kultury i Dziedzictwa Narodowego;21.08.2013;Państwowe
346;Muzeum Westerplatte i Wojny 1939 ;80-563;Gdańsk;ul.;Oliwska ;33A;;Minister Kultury i Dziedzictwa Narodowego;;Państwowe
347;Muzeum Wojsk Lądowych w Bydgoszczy;85-641;Bydgoszcz;ul.;Czerkaska;2;;Minister Obrony Narodowej;;Państwowe
348;Muzeum Wojska Polskiego w Warszawie;00-495;Warszawa;Aleje ;Jerozolmskie;3;;Minister Obrony Narodowej;28.12.1999;Państwowe
349;Muzeum Zamkowe w Malborku;82-200;"Malbork ";ul.;Starościńska;1;;Minister Kultury i Dziedzictwa Narodowego;06.07.1998;Państwowe
350;Muzeum Żup Krakowskich Wieliczka w Wieliczce ;32-020;Wieliczka;ul.;Zamkowa ;8;;Minister Kultury i Dziedzictwa Narodowego;18.05.1998;Państwowe
351;Narodowe Muzeum Morskie w Gdańsku;80-751;"Gdańsk ";ul.;Ołowianka;9-;13;Minister Kultury i Dziedzictwa Narodowego;28.12.1999;Państwowe
352;"Państwowe Muzeum Auschwitz-Birkenau w Oświęcimiu";32-603;Oświęcim;ul.;Więźniów Oświęcimia ;20;;Minister Kultury i Dziedzictwa Narodowego;06.07.1998;Państwowe
353;Państwowe Muzeum na Majdanku w Lublinie;20-325;"Lublin ";ul.;Droga Męczenników Majdanka ;67;;Minister Kultury i Dziedzictwa Narodowego;06.07.1998;Państwowe
354;"Zamek Królewski na Wawelu – Państwowe Zbiory Sztuki ";31-001;Kraków;ul.;Wawel;5;;Minister Kultury i Dziedzictwa Narodowego;06.07.1998;Państwowe
355;"Zamek Królewski w Warszawie – Muzeum. Rezydencja Królów i Rzeczypospolitej ";00-277;Warszawa;pl. ;Zamkowy ;4;;Minister Kultury i Dziedzictwa Narodowego;18.05.1998;Państwowe
356;Muzeum Archidiecezjalne Kardynała Karola Wojtyły ;"31-002 ";"Kraków ";ul.;Kanonicza;19-;21;Archidiecezja Krakowska;;Kościelne
357;Muzeum bł. Ojca Stanisława Papczyńskiego w Górze Kalwarii;"05-330";" Góra Kalwaria ( Dom Zakonny Zgromadzenia Księży Marianów pod wezwaniem bł. Ojca Stanisław Papczyńskiego w Górze Kalwarii)";ul.;Stanisława Papczyńskiego ;5A;;Prowincja Polska Zgromadzenia Księży Marianów pod wezwaniem Niepokalanego Poczęcia Najświętszej Marii Panny z siedzibą w Warszawie ;;Kościelne
358;"Muzeum Diecezjalne w Drohiczynie im. Jana Pawła II";17-312;"Drohiczyn";ul. ;Kraszewskiego;4;;Diecezja  Drohiczyńska ;;Kościelne
359;"Muzeum Diecezjalne w Siedlcach";"08-110 ";" Siedlce";ul.;Biskupa I. Świrskiego ;56;;Diecezja Siedlecka;;Kościelne
360;Muzeum Diecezji Elbląskiej;82-300;"Elbląg";ul.;Mostowa ;14-;16;Diecezja Elbląska;;Kościelne
361;Muzeum im. Księdza Walentego Ślusarczyka przy Opactwie O.O. Cysterów w Wąchocku (w organizacji);27-215;Wąchock ;ul. ;Kościelna;14;;Opactwo Ojców Cystersów w Wąchocku ;;Kościelne
362;Muzeum im. św. Jana Pawła II w organizacji ;75-016;Koszalin (Centrum Pielgrzymkowo - Turystyczne przy Domu Zakonnym - Góra Chełmska);ul.;Słupska;1;;Szensztacki Instytut Sióstr Maryi (ISSM);;Kościelne
363;Muzeum Markowieckiego Sanktuarium ;"88-320          ";"Strzelno       ";;Markowice;5;;Parafia Rzymskokatolicka pw. Nawiedzenia Najświętszej Maryi Panny w Markowicach;;Kościelne
364;Muzeum Misyjne Sióstr Klawerianek w Krośnie;"38-400";"Krosno";ul.;Łukasiewicza;62;;Zgromadzenie Sióstr Misjonarek Św. Piotra Klawera w Krośnie;;Kościelne
365;Muzeum Prawosławnej Diecezji Lubelsko-Chełmskiej;21-526 ;"Jabłeczna ";ul.;Jabłeczna;1;;Prawosławna Diecezja Lubelsko-Chełmska ;;Kościelne
366;Muzeum Reformacji Polskiej w Mikołajkach;11-730; Mikołajki;ul.;Plac Kościelny ;5;;Zgromadzenie Parafialne Parafii Ewangelicko-Augsburskiej                           Św. Trójcy w Mikołajkach;;Kościelne
367;Muzeum Warszawskiej Metropolii Prawosławnej w Warszawie ;03-403;Warszawa ;ul.;św. Cyryla i Metodego ;4;;Warszawska Metropolia Prawosławna;;Kościelne
368;Chojnickie Muzeum Motoryzacji i Techniki (w organizacji);89-600;Chojnice;ul.;Stary Rynek;18;19;Liliana Helta;;Utworzone przez osoby fizyczne
